objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Life of the Amazonia","368305","0","4","0","1","0","0","0","0","0","0","0","3","Kickstarter 11-2022 -> 12-2023 levering","","","","","99375898","7.04603","8.07579","2.8581","459","7195","thing","Life of the Amazonia","1","4","150","150","60","2023","1,2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Light in the Mist","341519","0","33","0","1","0","0","0","0","0","0","0","3","","","","","","135304923","6.21465","7.98612","2.875","2207","3338","thing","The Light in the Mist","1","4","500","500","300","2022","1,2","2","14+","Unplayable in another language","","","","","","standalone","","39.56","EUR","","","2025-08-12","Dwalende Dwerg","","","","","PostCurious","English","2022","English edition"
"Lionwake","456018","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149373586","0","8.35714","0","0","4","thing","Lionwake","1","4","120","120","60","2027","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Living Forest","328479","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","86205019","6.79112","7.2153","2.2151","774","14139","thing","Living Forest","1","4","40","40","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ludonaute","English","2021","Ludonaute English edition"
"Loot","424225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122252863","5.49444","5.45037","1.3333","27687","835","thing","Loot","2","4","20","20","20","2024","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities: Rivalen","253398","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","93629401","5.98318","6.6489","1.931","3313","4235","thing","Lost Cities: Rivals","2","4","40","40","40","2019","3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2019","Dutch edition"
"The Lost Code","299702","0","2","0","0","0","0","0","0","1","0","0","3","Spiel 22","","","","","95751635","5.91805","7.2512","2.375","3760","1756","thing","The Lost Code","2","4","60","60","60","2022","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost! in the Woods","448477","0","0","0","0","0","0","0","0","0","0","0","3","","Spiel25","","","","134372689","5.50758","6.14878","1","24010","114","thing","Lost! in the Woods","2","8","15","15","15","2025","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Machi Koro","143884","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","92478698","6.47198","6.59111","1.5201","1404","60412","thing","Machi Koro","2","4","30","30","30","2012","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Machiavelli","130060","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","141448086","6.12444","7.03407","2.3514","2567","5146","thing","Ohne Furcht und Adel Sonderausgabe","2","7","60","60","60","2012","3,4,5,6,7","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2012","Dutch edition"
"Magic Fold","259551","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","65137443","5.54025","6.29671","1.3333","14878","283","thing","Magic Fold","2","4","30","30","20","2018","3,4","4","6+","No necessary in-game text","","","","","","standalone","","20","EUR","","","2019-10-12","Spiel","","","","","","","",""
"Majolica: Revised Edition","402366","0","0","0","0","0","0","0","0","0","0","1","2","Spiel 24","","","","","123594012","0","6.81964","2","0","45","thing","Majolica: Revised Edition","2","4","60","60","20","2024","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mandala Stones","317504","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","86201840","6.13463","6.82998","1.8358","2526","5838","thing","Mandala Stones","2","4","30","30","30","2021","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mandala Stones: Harmony","350460","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95658485","5.57211","7.15366","2.2857","0","1327","thing","Mandala Stones: Harmony","2","4","30","30","30","2022","2,3,4","2","8+","","","","","","","expansion","","","","","","","","","SecretSanta 2022 Gift","","","","","",""
"Mascarade","139030","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68459138","6.32747","6.55015","1.5296","1797","18121","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Massive Darkness","197070","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458948","6.44302","7.10709","2.5676","1480","11097","thing","Massive Darkness","1","6","120","120","120","2017","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mech A Dream","365647","0","5","0","1","0","0","0","0","0","0","0","1","Via BGA gevonden","","","","","103398165","5.61337","6.56007","2","8868","345","thing","Mech A Dream","2","4","45","45","45","2023","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange (EU)","Dutch; English; French; German; Italian; Portuguese; Russian; Spanish","2023","Multilingual edition"
"Mega Man: The Board Game","150811","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125263114","5.41078","5.11718","1.5714","31011","935","thing","Mega Man: The Board Game","2","6","90","90","60","2016","2,3","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Meine ersten Spiele: Wir räumen auf","237719","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","97643774","5.51043","6.126","1","23018","176","thing","Meine ersten Spiele: Wir räumen auf","1","3","10","10","5","2017","1,2,3","1,2","2–4","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Men-Nefer","404431","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123002959","7.02064","8.15323","3.6826","487","6230","thing","Men-Nefer","1","4","120","120","60","2024","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Menara","244608","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","73959410","6.73098","7.41573","1.5542","864","7445","thing","Menara","1","4","60","60","10","2018","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Merchants Cove","277700","0","24","0","1","0","0","0","0","0","0","0","3","","","","","","95658367","6.66041","7.38947","2.7556","989","9404","thing","Merchants Cove","1","4","90","90","60","2021","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Final Frontier Games","English","2021","English edition"
"Merchants Cove: Master Craft","364640","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97567291","5.6511","8.09818","3.2","0","1987","thing","Merchants Cove: Master Craft","1","5","90","90","60","2025","1,2,3","2","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Merv: The Heart of the Silk Road","306040","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","130488048","6.78494","7.46335","3.436","779","8781","thing","Merv: The Heart of the Silk Road","1","4","90","90","90","2020","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Micro Cosmos","347347","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","107253447","5.6629","7.24717","2.8947","7228","1073","thing","Micro Cosmos","1","4","90","90","40","2023","1,2,3,4","1,3","10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Thistroy Games","English","2023","English edition"
"MimiQ","133687","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","116902749","5.4811","5.16781","1","29536","387","thing","MimiQ","2","4","10","10","10","2011","3,4","4","4","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mimir's Challenge","412006","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136164694","0","7.05172","1.6667","0","42","thing","Mimir's Challenge","2","4","60","60","30","2025","3,4","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind: Soulmates","378851","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","114089190","5.64221","6.82419","1.1429","7828","923","thing","The Mind: Soulmates","2","4","20","20","20","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2023","Dutch edition"
"Ministry of Lost Things: Case 1 – Lint Condition","425765","0","0","0","0","0","0","0","0","0","0","1","4","","Spiel25
Zeker langs gaan! Maar deze te makkelijk?","","","","135307123","5.74826","7.87716","2.5714","5542","1134","thing","Ministry of Lost Things: Case 1 – Lint Condition","1","4","180","180","120","2025","1,2","1","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ministry of Lost Things: Case 2 – Finders Keypers","453357","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","147457460","5.54349","8.29524","2.25","14360","373","thing","Ministry of Lost Things: Case 2 – Finders Keypers","1","4","240","240","120","2026","1,2","1","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monster Nursery","414130","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123596794","0","6.7","1","0","0","thing","Monster Nursery","2","6","30","30","20","2025","2,3,4,5","4","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Bunny","377991","0","3","0","1","0","0","0","0","0","0","0","2","","Spiel25","","","","137198271","5.63783","7.29814","2.0909","7966","799","thing","Moon Bunny","1","4","60","60","30","2025","1,2,3,4","3","12+","","","","","","","standalone","","","","","","2025-11-27","Secret Santa 2025","","Thank you Secret Santa :)","","","","","",""
"Moon River","378001","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","112433388","5.85642","6.68223","2.0294","4277","1904","thing","Moon River","2","4","45","45","45","2023","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Moonlight Castle","353401","0","2","0","1","0","0","0","0","0","0","0","1","","","","","","99090337","5.57276","6.96917","1.5","11274","376","thing","Moonlight Castle","2","4","30","30","30","2021","2,3,4","3,4","5–12","No necessary in-game text","","","","","","standalone","","","","","","2022-11-06","Spellenspektakel","","","","","","","",""
"The Morrison Game Factory","390406","0","6","0","1","0","0","0","0","0","0","0","1","","","","","","135307040","5.97385","8.22701","2.2222","3378","1378","thing","The Morrison Game Factory","1","4","240","240","100","2024","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mouse Trap","2679","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","99814559","4.66048","4.13765","1.0995","31266","4688","thing","Mouse Trap","2","4","30","30","30","1986","2,3,4","4","5–10","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Milton Bradley","English","1986","Milton Bradley English edition 1986"
"Mr. Jack Pocket","72287","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","80317232","6.53067","6.82485","1.8277","1267","15428","thing","Mr. Jack Pocket","2","2","15","15","15","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Bites!","12194","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","68457904","5.70076","5.99348","1.7549","6381","8037","thing","Munchkin Bites!","3","6","90","90","90","2004","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Bites! 2: Pants Macabre","18898","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458772","5.67501","6.38312","2.0635","0","2359","thing","Munchkin Bites! 2: Pants Macabre","3","6","90","90","90","2005","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin Cthulhu","25071","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68459064","5.87868","6.1987","1.7243","4092","14007","thing","Munchkin Cthulhu","3","6","90","90","90","2007","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Impossible","22948","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457933","5.60192","5.94055","1.8286","9431","3165","thing","Munchkin Impossible","3","6","120","120","60","2006","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Muster: Raise the Banners","410580","0","3","0","0","0","0","0","0","0","0","0","3","","","","","","138671839","5.53113","7.37049","1.3333","16620","151","thing","Muster: Raise the Banners","2","2","20","20","10","2025","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Play Monkey Games","English","2025","English edition"
"My Father's Work","328866","0","12","0","1","0","0","0","0","0","0","0","3","","","","","","120076638","6.84541","7.81584","3.1385","699","7739","thing","My Father's Work","2","4","180","180","180","2022","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","English","2022","English edition"
"My Very First Games: Off to Bed!","269620","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","97643771","5.50788","6.06364","2","23899","126","thing","My Very First Games: Off to Bed!","1","3","10","10","10","2019","1,2,3","2","2–5","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian; Spanish","2019","Multilingual edition (German packaging)"
"Mythologies","447570","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149253291","5.58094","7.15733","2.5","10657","307","thing","Mythologies","2","4","40","40","20","2026","2,3,4","4","10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nakasendo","472460","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149226362","0","9","0","0","2","thing","Nakasendo","2","4","45","45","30","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Namiji","275215","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","65176151","6.17602","7.10143","1.75","2344","5384","thing","Namiji","2","5","45","45","30","2022","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Funforge","English","2022","English edition"
"Nemesis","167355","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92478695","7.94617","8.24282","3.4916","25","51538","thing","Nemesis","1","5","180","180","90","2021","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Awaken Realms","English","2021","English edition, second printing"
"New York Zoo","300877","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","80317286","6.68783","6.99708","1.9595","940","18809","thing","New York Zoo","1","5","60","60","30","2021","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2021","Dutch edition"
"Night Parade of a Hundred Yokai","314589","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","96407814","5.87195","7.28225","2","4153","1706","thing","Night Parade of a Hundred Yokai","1","4","45","45","30","2021","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","50","EUR","","","2022-10-09","Spiel","","","","","Brueh Games Inc.","English","2021","English edition"
"Night Parade of a Hundred Yokai: Cursed Throne Expansion","374171","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109536375","5.57829","7.96067","2.2","0","757","thing","Night Parade of a Hundred Yokai: Cursed Throne Expansion","1","4","50","50","35","2023","2,3,4","3","","","","","","","","expansion","","","","","","","","","","","","Brueh Games Inc.","English","2023","English edition"
"Night Parade of a Hundred Yokai: Kami Rising","345008","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130488054","5.61359","7.8915","2","0","982","thing","Night Parade of a Hundred Yokai: Kami Rising","1","5","40","0","40","2021","2,3,4,5","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Night Parade of a Hundred Yokai: Moonlight Whispers","345007","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130488058","5.62554","7.86224","2","0","1062","thing","Night Parade of a Hundred Yokai: Moonlight Whispers","1","5","40","0","40","2021","2,3,4,5","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Nippon: Zaibatsu","434367","0","0","0","0","0","0","0","0","0","0","0","3","","Spiel25","","","","137198630","7.12699","8.50415","3.599","368","6116","thing","Nippon: Zaibatsu","1","4","120","120","60","2026","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Octo&Roll","455490","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137198393","0","8","0","0","2","thing","Octo&Roll","2","7","20","20","15","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Oh no... INVASION!!!","126168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458933","5.51075","5.76337","1.8","22913","177","thing","Oh no... INVASION!!!","3","5","30","30","30","2012","4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ojo, Mano, Pata, ¡Monstruos!","416000","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123596040","0","7","0","0","34","thing","Ojo, Mano, Pata, ¡Monstruos!","2","4","15","15","15","2024","","","4–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Original Rummikub","811","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","101181336","6.34092","6.52878","1.7081","1750","51109","thing","Rummikub","2","4","60","60","60","1988","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Goliath Games","Dutch","1988","Goliath Dutch edition 1988"
"Oros","313807","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","96407773","6.15012","7.1737","3.3256","2445","4609","thing","Oros","1","4","120","120","60","2023","3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Outside the Scope of BGG","23953","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","130489091","5.75531","6.57624","1.7326","5440","3662","thing","Outside the Scope of BGG","0","0","0","0","0","0","","","2+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Overbooked","230200","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63492574","6.05195","6.9701","1.9714","2936","3278","thing","Overbooked","1","4","40","40","20","2018","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Panda Spin","417323","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120950965","6.20896","7.11348","2.04","2222","3555","thing","Panda Spin","2","5","40","40","25","2024","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Papertown","209688","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","110910643","5.53766","6.81667","1.8","15319","217","thing","Papertown","1","4","30","30","15","2021","2,3,4","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Buró","Portuguese","2021","Portuguese edition"
"Paradox Island","437168","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136048299","5.57785","7.262","2.6667","10858","187","thing","Paradox Island","2","4","90","90","60","2025","3,4","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Party Panda Pirates","365119","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123596962","5.75241","7.45103","1.2","5487","1486","thing","Party Panda Pirates","2","6","45","45","30","2024","3,4,5,6","4","6","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pasteles","462440","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","147723173","0","7.07143","0","0","44","thing","Pasteles","1","1","30","30","30","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Pest","353572","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","98487376","5.90079","7.29928","3.2653","3902","2171","thing","Pest","1","5","150","150","60","2024","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Archona Games","English","2024","English edition"
"Phase 10 Master","61470","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","68458834","5.50213","5.58763","1.3438","25738","2408","thing","Phase 10 Master","2","6","60","60","60","2008","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Philosophy","263236","0","3","0","1","0","0","0","0","0","0","0","3","Gespeeld op Spiel 2021. Nooit meer iets van gehoord.","","","","","95529673","5.57929","7.22338","2.2","10765","314","thing","Philosophy","2","2","30","30","5","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pick a Pen: Riffen","381826","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","107644013","5.5718","6.4145","1.4286","11366","793","thing","Pick a Pen: Reefs","2","4","30","30","30","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch; English","2023","Dutch/English edition"
"Pillars of Heracles","391549","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137348310","5.67913","7.48029","3.8857","6855","758","thing","Pillars of Heracles","1","4","120","120","90","2025","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pioneers of Pagonia: The Board Game","469369","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149226275","0","9.33333","3.6667","0","0","thing","Pioneers of Pagonia: The Board Game","1","4","180","180","90","2028","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Please Don't Burn My Village!","438119","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","137716682","5.62641","6.41295","1.5","8348","581","thing","Please Don't Burn My Village!","2","5","30","30","20","2025","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","20","EUR","","","2025-10-24","Spiel25","","","","","Fireside Games","English","2025","English edition"
"Potion Explosion","180974","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","77575636","6.92422","7.1215","1.7768","603","34316","thing","Potion Explosion","2","4","45","45","30","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Potion Explosion: The 6th Student","257729","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97643773","5.828","7.49233","2.1429","0","3001","thing","Potion Explosion: The 6th Student","2","6","45","45","30","2019","3,4,5,6","4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Potion Explosion: The Fifth Ingredient","203542","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80666243","6.22965","7.53133","1.95","0","6863","thing","Potion Explosion: The Fifth Ingredient","2","4","60","60","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Power Plants","341974","0","13","0","1","0","0","0","0","0","0","0","3","","","","","","104447872","6.05281","7.09247","2.5094","2930","3196","thing","Power Plants","1","5","30","30","30","2022","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Happy Meeple Games; KTBG","Dutch","2022","Dutch edition"
"Punto","259069","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","92478697","5.80666","6.5711","1.069","4759","3219","thing","Punto","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2018","Dutch edition"
"Pusheen: The Stacking Game!","422690","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","123594437","5.49561","5.45942","1","27428","229","thing","Pusheen: The Stacking Game!","2","8","15","15","3","2024","","","3+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Queen Alice","456236","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 26","","","","147664802","5.58133","8.54205","3.8","10635","249","thing","Queen Alice","1","4","120","120","30","2026","2,3,4","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Quibbles","388539","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","112103356","5.52987","5.85143","1.2727","16908","352","thing","Quibbles","1","6","25","25","10","2023","2,3","2","8+","No necessary in-game text","","","","","","standalone","","11","EUR","","","2023-11-05","Spellenspektakel","","","","","Gam'inBIZ","Dutch; English; French; German","2023","EN/FR/DE/NL edition (cover A)"
"Raas: A Dance of Love","358912","0","0","0","0","0","0","0","1","0","0","1","1","","Spiel24
Spiel25","","","","120950900","5.65769","7.66322","2.5","7374","88","thing","Raas: A Dance of Love","1","6","90","90","30","2026","2,3","2,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink Challenge: Shining Yellow Edition","306882","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","100060555","6.40481","7.43279","2","1589","7346","thing","Railroad Ink Challenge: Shining Yellow Edition","1","4","30","30","15","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Tiles","418062","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","124546597","6.34918","7.47287","1.75","1728","4250","thing","Railroad Tiles","1","4","30","30","30","2025","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Raindrops","462541","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149226548","0","7.73529","0","0","56","thing","Raindrops","2","4","45","45","45","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ramen Ink","292507","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","93658471","5.54211","6.23872","1.6667","14579","536","thing","Ramen Ink","2","5","20","20","15","2020","2,3,4,5","2","8+","","","","","","","standalone","","10","EUR","","","2022-04-15","Intertoys","","","","","Jumbo","Dutch; English; French; German; Italian; Portuguese; Spanish","2020","Multilingual edition"
"Rebirth","417197","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","123862706","7.18132","7.76713","1.9722","320","13282","thing","Rebirth","2","4","60","60","45","2024","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Red Outpost","287589","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","115910276","6.15135","6.86475","2.5368","2440","5159","thing","Red Outpost","1","4","60","60","30","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Happy Meeple Games; Lifestyle Boardgames Ltd","Dutch","2021","Dutch edition"
"Redwood","359962","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","96974543","5.9895","7.16509","2.1515","3272","2481","thing","Redwood","1","4","60","60","45","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","Kickstarter okt 2022","","","","","",""
"Revenge of the Dictators","192984","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","63492579","5.51239","6.01548","2.2","22316","415","thing","Revenge of the Dictators","2","5","105","105","45","2016","3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rival Restaurants","262114","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","130488082","6.20768","7.53463","2.2093","2225","4601","thing","Rival Restaurants","2","6","60","60","45","2019","3,4,5,6","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
